image_name,filter_type,filter_name,kernel_size,padding,runtime,file_name
NZjers1,direction,truncated_median,5,constant,-1,./results/edge/NZjers1/truncated_median/direction/5-constant-CkhnnoCz.png
NZjers1,combined,truncated_median,5,constant,-1,./results/edge/NZjers1/truncated_median/combined/5-constant-gDrlWfib.png
NZjers1,magnitude,truncated_median,7,constant,-1,./results/edge/NZjers1/truncated_median/magnitude/7-constant-BJBmNtwW.png
NZjers1,direction,truncated_median,7,constant,-1,./results/edge/NZjers1/truncated_median/direction/7-constant-gcTcyqnh.png
NZjers1,combined,truncated_median,7,constant,-1,./results/edge/NZjers1/truncated_median/combined/7-constant-BEAflBqb.png
NZjers1,magnitude,truncated_median,9,constant,-1,./results/edge/NZjers1/truncated_median/magnitude/9-constant-blBffSbZ.png
NZjers1,direction,truncated_median,9,constant,-1,./results/edge/NZjers1/truncated_median/direction/9-constant-cxjqXEeK.png
NZjers1,combined,truncated_median,9,constant,-1,./results/edge/NZjers1/truncated_median/combined/9-constant-YLfUZZkE.png
NZjers1,magnitude,truncated_median,11,constant,-1,./results/edge/NZjers1/truncated_median/magnitude/11-constant-pcbwbAVV.png
NZjers1,direction,truncated_median,11,constant,-1,./results/edge/NZjers1/truncated_median/direction/11-constant-LPQfzIIW.png
NZjers1,combined,truncated_median,11,constant,-1,./results/edge/NZjers1/truncated_median/combined/11-constant-NQuJHptz.png
NZjers1,magnitude,truncated_median,13,constant,-1,./results/edge/NZjers1/truncated_median/magnitude/13-constant-jDiWGpUf.png
NZjers1,direction,truncated_median,13,constant,-1,./results/edge/NZjers1/truncated_median/direction/13-constant-gRLUfkCB.png
NZjers1,combined,truncated_median,13,constant,-1,./results/edge/NZjers1/truncated_median/combined/13-constant-AawTTAlA.png
NZjers1,magnitude,truncated_median,15,constant,-1,./results/edge/NZjers1/truncated_median/magnitude/15-constant-oFLENMRe.png
NZjers1,direction,truncated_median,15,constant,-1,./results/edge/NZjers1/truncated_median/direction/15-constant-zWydMULe.png
NZjers1,combined,truncated_median,15,constant,-1,./results/edge/NZjers1/truncated_median/combined/15-constant-OkATWGee.png
NZjers1,magnitude,max,3,constant,-1,./results/edge/NZjers1/max/magnitude/3-constant-bJrVMfoC.png
NZjers1,direction,max,3,constant,-1,./results/edge/NZjers1/max/direction/3-constant-mTErULGG.png
NZjers1,combined,max,3,constant,-1,./results/edge/NZjers1/max/combined/3-constant-akqZyrok.png
NZjers1,magnitude,max,5,constant,-1,./results/edge/NZjers1/max/magnitude/5-constant-jouYgfSL.png
NZjers1,direction,max,5,constant,-1,./results/edge/NZjers1/max/direction/5-constant-wdzcLvxZ.png
NZjers1,combined,max,5,constant,-1,./results/edge/NZjers1/max/combined/5-constant-vXtvXIfk.png
NZjers1,magnitude,max,7,constant,-1,./results/edge/NZjers1/max/magnitude/7-constant-ByjWeKjX.png
NZjers1,direction,max,7,constant,-1,./results/edge/NZjers1/max/direction/7-constant-uEeVcpje.png
NZjers1,combined,max,7,constant,-1,./results/edge/NZjers1/max/combined/7-constant-fOHJtKOY.png
NZjers1,magnitude,max,9,constant,-1,./results/edge/NZjers1/max/magnitude/9-constant-EIoEijiQ.png
NZjers1,direction,max,9,constant,-1,./results/edge/NZjers1/max/direction/9-constant-RMEDvSDE.png
NZjers1,combined,max,9,constant,-1,./results/edge/NZjers1/max/combined/9-constant-CfLtQiIl.png
NZjers1,magnitude,max,11,constant,-1,./results/edge/NZjers1/max/magnitude/11-constant-uQCyQjnW.png
NZjers1,direction,max,11,constant,-1,./results/edge/NZjers1/max/direction/11-constant-xpWeQOoq.png
NZjers1,combined,max,11,constant,-1,./results/edge/NZjers1/max/combined/11-constant-WrPglcNr.png
NZjers1,magnitude,max,13,constant,-1,./results/edge/NZjers1/max/magnitude/13-constant-gXyntPYi.png
NZjers1,direction,max,13,constant,-1,./results/edge/NZjers1/max/direction/13-constant-NHWYgcUX.png
NZjers1,combined,max,13,constant,-1,./results/edge/NZjers1/max/combined/13-constant-gbPefiDK.png
NZjers1,magnitude,max,15,constant,-1,./results/edge/NZjers1/max/magnitude/15-constant-sbfVsngt.png
